Frequency,Recency,MonetaryValue,Cluster
2,95.0,572.1999999999999,3
1,281.0,166.04,1
1,261.0,1542.08,1
4,3.0,942.34,0
1,214.0,92.72,1
2,70.0,948.8800000000002,0
5,74.0,1759.5,0
1,59.0,397.12,0
7,2.0,1474.72,2
3,5.0,430.15,0
6,2.0,1018.71,0
2,336.0,293.0,1
6,37.0,6814.640000000001,2
1,262.0,215.05,1
2,32.0,383.03,0
1,145.0,417.38,3
1,282.0,312.38,1
4,59.0,2612.86,0
1,173.0,134.1,3
2,33.0,683.13,0
14,2.0,5591.42,2
4,143.0,2726.77,3
25,4.0,4022.35,2
2,70.0,1118.99,0
8,65.0,1702.2600000000002,2
2,29.0,325.96,0
4,267.0,354.09000000000003,1
1,22.0,871.54,0
2,31.0,1050.89,0
1,96.0,135.18,3
1,294.0,311.55,1
6,134.0,1957.1000000000004,3
3,78.0,1324.5000000000002,0
1,372.0,38.1,1
6,7.0,2179.93,0
2,210.0,1106.4,3
1,52.0,521.2,0
1,138.0,147.12,3
2,26.0,1568.23,0
1,283.0,559.12,1
7,26.0,4036.82,2
6,185.0,1607.0600000000004,3
2,84.0,380.64,0
2,326.0,599.97,1
1,282.0,374.0,1
2,143.0,343.2300000000001,3
2,57.0,2218.020000000001,0
12,3.0,1535.7700000000002,2
2,236.0,854.99,1
3,44.0,573.22,0
1,275.0,298.0,1
2,9.0,1463.0399999999995,0
4,24.0,703.47,0
1,88.0,309.05000000000007,0
3,63.0,1175.2199999999998,0
2,67.0,1378.4,0
2,214.0,354.12,1
1,24.0,380.47,0
3,185.0,331.0,3
1,30.0,188.14,0
2,42.0,372.8,0
2,204.0,216.5,3
28,8.0,17654.539999999997,2
1,264.0,138.67999999999998,1
2,18.0,509.58,0
5,11.0,2919.81,0
2,176.0,750.0,3
5,39.0,2178.67,0
8,23.0,3075.0400000000004,2
5,2.0,1662.3000000000002,0
5,4.0,2483.63,0
2,148.0,363.65,3
4,138.0,3006.15,3
1,128.0,594.0,3
6,8.0,1335.19,0
1,17.0,164.23000000000002,0
37,9.0,16587.09,2
1,161.0,405.38,3
1,64.0,176.97,0
4,88.0,933.7000000000002,0
2,4.0,694.05,0
5,35.0,2062.7,0
1,311.0,117.85,1
2,78.0,415.8,0
15,21.0,42055.96,2
3,24.0,607.53,0
7,2.0,2160.7,2
4,17.0,1063.9,0
4,15.0,1504.2700000000002,0
1,25.0,114.14,0
8,64.0,11581.8,2
2,54.0,913.54,0
3,131.0,683.9000000000001,3
2,35.0,604.51,0
1,288.0,462.9500000000001,1
6,143.0,1603.99,3
7,16.0,2064.95,2
8,30.0,4167.22,2
3,2.0,1843.0,0
6,8.0,1064.07,0
4,5.0,1387.79,0
1,9.0,329.85,0
11,1.0,4757.160000000001,2
1,306.0,108.07,1
8,9.0,4017.54,2
2,7.0,266.39,0
8,8.0,1856.63,2
1,89.0,771.91,0
1,9.0,160.18,0
2,358.0,1660.9,1
1,112.0,135.95,3
4,7.0,452.24000000000007,0
86,3.0,11189.91,2
1,197.0,144.8,3
1,211.0,738.6,1
1,156.0,39.24,3
9,157.0,7374.9,3
2,29.0,372.2199999999999,0
1,242.0,390.54,1
1,18.0,97.5,0
2,0.0,1239.38,0
2,73.0,558.7,0
1,292.0,535.3200000000002,1
15,3.0,6924.110000000001,2
3,31.0,409.5000000000001,0
2,23.0,503.7600000000001,0
4,23.0,414.76,0
3,4.0,974.42,0
1,85.0,211.32,0
4,22.0,1226.89,0
3,196.0,455.88,3
3,106.0,534.8500000000001,3
13,4.0,9818.82,2
1,318.0,120.95,1
3,105.0,149.05,3
18,11.0,5655.91,2
2,173.0,513.6999999999999,3
1,56.0,81.57,0
1,323.0,229.47000000000003,1
1,372.0,50.55,1
8,9.0,1661.84,2
13,1.0,4810.94,2
10,10.0,3466.28,2
5,53.0,3346.28,0
3,73.0,789.8899999999999,0
1,7.0,204.0,0
28,16.0,7277.700000000001,2
9,4.0,2616.38,2
2,64.0,689.9000000000001,0
5,1.0,975.36,0
6,113.0,6912.0,3
2,22.0,661.3200000000002,0
3,30.0,1247.5,0
2,11.0,799.4800000000001,0
2,52.0,1010.1800000000002,0
1,357.0,190.55,1
2,54.0,642.7700000000001,0
2,73.0,921.88,0
3,138.0,881.07,3
3,80.0,908.46,0
2,8.0,676.99,0
1,273.0,516.4200000000001,1
1,291.0,560.47,1
1,99.0,305.28,3
2,30.0,629.31,0
10,31.0,3237.5400000000004,2
4,14.0,1835.91,0
2,64.0,656.6800000000002,0
17,14.0,5836.860000000001,2
1,212.0,348.15000000000003,1
3,78.0,1214.41,0
3,24.0,271.4,0
1,249.0,183.4,1
1,253.0,307.53000000000003,1
1,72.0,248.61,0
1,191.0,346.98,3
4,12.0,1119.4900000000005,0
1,373.0,205.86,1
2,24.0,470.8,0
1,82.0,115.46,0
2,10.0,344.0,0
24,0.0,4436.12,2
1,192.0,228.8,3
1,266.0,177.14999999999998,1
1,129.0,919.61,3
4,1.0,729.2700000000001,0
26,3.0,12627.94,2
5,4.0,220.1,0
1,179.0,58.08,3
11,11.0,28337.38,2
9,126.0,3613.63,3
2,4.0,303.75,0
2,157.0,416.08,3
97,2.0,58825.83,2
14,8.0,8910.819999999998,2
1,28.0,345.82000000000005,0
5,70.0,477.83,0
8,275.0,7832.470000000001,1
12,21.0,1927.32,2
1,70.0,74.4,0
10,32.0,6010.419999999999,2
28,1.0,28882.44,2
1,99.0,207.36,3
1,234.0,101.19,1
24,1.0,6424.089999999999,2
1,39.0,243.94,0
6,3.0,1098.48,0
1,133.0,76.5,3
4,44.0,1531.6200000000003,0
1,372.0,350.05999999999995,1
2,59.0,786.54,0
7,31.0,1488.67,2
24,0.0,12245.96,2
4,11.0,2294.78,0
1,138.0,501.14,3
8,21.0,984.91,2
5,19.0,1197.81,0
1,238.0,30.6,1
1,269.0,283.73,1
2,94.0,922.39,3
3,89.0,3866.33,0
8,4.0,2099.64,2
1,77.0,259.17,0
1,94.0,64.0,3
3,23.0,1073.3000000000002,0
1,261.0,77.3,1
2,273.0,109.79999999999998,1
4,85.0,1793.5800000000004,0
1,196.0,3096.0,3
5,56.0,2607.61,0
8,10.0,3650.41,2
6,22.0,962.39,0
7,16.0,5064.9400000000005,2
3,108.0,423.72,3
5,84.0,2388.75,0
1,19.0,307.0899999999999,0
1,332.0,110.95,1
4,39.0,618.52,0
1,26.0,228.91,0
4,10.0,712.8,0
12,29.0,3707.12,2
4,14.0,1676.0600000000002,0
1,295.0,1257.8700000000003,1
1,5.0,486.22,0
4,33.0,971.7600000000002,0
4,49.0,1741.2199999999998,0
4,94.0,1201.06,3
4,8.0,1437.85,0
1,22.0,91.8,0
1,313.0,112.75,1
4,122.0,1688.2899999999995,3
2,46.0,1021.48,0
1,283.0,417.2000000000001,1
4,18.0,791.3299999999999,0
4,36.0,1319.19,0
2,63.0,712.88,0
1,26.0,116.01,0
3,21.0,468.41,0
2,4.0,353.65000000000003,0
3,16.0,2817.03,0
1,46.0,492.84,0
1,64.0,282.45,0
11,26.0,5725.469999999999,2
1,45.0,121.18,0
9,7.0,3957.7800000000007,2
10,14.0,1701.29,2
1,267.0,71.4,1
3,39.0,1575.89,0
1,337.0,236.02,1
1,11.0,114.6,0
2,18.0,260.67999999999995,0
2,95.0,911.9400000000002,3
1,61.0,117.88,0
1,135.0,60.7,3
4,11.0,1797.7800000000002,0
6,10.0,3401.24,2
38,3.0,9817.12,2
4,19.0,870.0900000000001,0
4,9.0,869.46,0
2,15.0,250.26000000000005,0
6,58.0,1223.9,0
8,30.0,5891.61,2
1,93.0,353.48,3
3,10.0,1197.42,0
3,19.0,788.08,0
5,56.0,1520.5800000000002,0
1,267.0,333.74,1
3,122.0,533.98,3
1,127.0,62.64,3
4,78.0,819.29,0
2,240.0,847.4100000000001,1
2,200.0,163.20000000000002,3
2,60.0,2155.95,0
7,3.0,6463.84,2
1,273.0,108.21,1
1,201.0,257.7,3
1,81.0,358.0,0
1,225.0,160.95,1
14,4.0,2806.9700000000003,2
7,12.0,1357.6,2
2,74.0,605.1199999999999,0
1,212.0,1031.0700000000002,1
2,24.0,744.85,0
4,17.0,700.7299999999999,0
1,261.0,329.56,1
4,96.0,663.65,3
3,112.0,270.40000000000003,3
1,203.0,600.0700000000002,3
1,92.0,121.74,3
1,50.0,430.5,0
6,18.0,1987.3,0
4,17.0,501.12,0
2,124.0,465.68,3
3,92.0,711.41,3
2,156.0,1030.4,3
2,9.0,399.51,0
3,11.0,698.5799999999999,0
1,61.0,292.31999999999994,0
1,61.0,557.62,0
2,268.0,944.1,1
1,263.0,200.29,1
35,1.0,7454.07,2
5,53.0,2107.6600000000003,0
12,11.0,3834.26,2
19,2.0,4521.49,2
11,17.0,3214.69,2
15,1.0,5346.23,2
1,366.0,590.0,1
1,37.0,217.38,0
2,31.0,276.56000000000006,0
1,113.0,138.98000000000002,3
2,63.0,590.93,0
4,15.0,258.4,0
1,40.0,542.73,0
1,78.0,137.75,0
3,122.0,814.86,3
3,18.0,1132.14,0
2,59.0,93.66,0
1,330.0,201.19,1
4,23.0,2709.1200000000003,0
1,155.0,361.11,3
2,38.0,578.9399999999999,0
2,189.0,873.74,3
1,359.0,201.20000000000005,1
1,137.0,87.4,3
4,7.0,2089.85,0
1,1.0,360.0,0
1,268.0,142.5,1
1,169.0,371.89,3
4,103.0,618.09,3
1,155.0,63.75,3
1,351.0,300.42,1
10,4.0,2000.86,2
1,120.0,15.0,3
3,22.0,1385.51,0
5,7.0,1456.7900000000002,0
3,28.0,1132.0300000000002,0
2,4.0,598.57,0
5,22.0,1555.32,0
3,1.0,775.94,0
4,37.0,5977.7300000000005,0
6,66.0,2273.6800000000003,0
3,1.0,640.7600000000001,0
26,5.0,10845.55,2
4,78.0,1548.6999999999998,0
2,72.0,567.36,0
1,17.0,199.48,0
5,3.0,787.8499999999999,0
10,36.0,7121.95,2
1,81.0,675.3,0
8,38.0,3627.77,2
1,316.0,1308.48,1
2,31.0,789.0,0
3,92.0,1140.93,3
1,14.0,350.9,0
3,82.0,3536.8200000000006,0
1,77.0,795.1200000000001,0
1,157.0,487.02,3
1,200.0,860.12,3
7,45.0,10736.48,2
1,260.0,775.85,1
1,177.0,353.43000000000006,3
3,67.0,2543.7200000000007,0
1,287.0,389.5,1
1,70.0,341.36,0
1,64.0,233.76,0
1,10.0,247.32,0
2,16.0,979.12,0
1,66.0,373.94,0
1,60.0,397.98,0
1,71.0,743.5300000000001,0
1,122.0,674.7,3
1,80.0,768.2400000000001,0
1,257.0,609.95,1
1,268.0,439.03,1
1,63.0,439.56,0
4,9.0,3090.74,0
2,17.0,992.5,0
1,71.0,134.96,0
2,33.0,2225.37,0
1,50.0,56.16,0
2,256.0,623.4,1
1,365.0,308.28,1
1,371.0,754.8700000000001,1
1,89.0,378.64,0
3,60.0,3312.2500000000005,0
1,88.0,778.65,0
3,99.0,1019.76,3
3,26.0,572.5600000000001,0
6,31.0,3639.31,0
1,280.0,222.99,1
7,30.0,4151.93,2
1,329.0,534.57,1
2,131.0,677.1,3
3,11.0,797.9599999999999,0
1,74.0,544.08,0
1,203.0,59.8,3
8,1.0,2520.0200000000004,2
1,185.0,307.72,3
2,29.0,1360.99,0
5,72.0,1544.13,0
1,192.0,457.34,3
2,127.0,621.2300000000002,3
1,17.0,75.0,0
2,1.0,252.49,0
3,74.0,572.4509999999999,0
62,1.0,28117.04,2
5,24.0,1003.0600000000002,0
1,107.0,213.55,3
3,133.0,1390.5,3
2,43.0,712.5,0
2,4.0,640.83,0
18,11.0,6127.43,2
1,63.0,221.06000000000003,0
2,149.0,159.85,3
2,40.0,1851.08,0
1,64.0,2626.3,0
3,108.0,1624.2100000000005,3
10,0.0,3641.32,2
3,19.0,582.6,0
1,10.0,218.47,0
4,10.0,1006.7999999999998,0
2,18.0,679.4499999999999,0
2,67.0,1269.1,0
2,74.0,534.24,0
7,5.0,3809.89,2
1,1.0,196.89,0
7,14.0,3408.0600000000004,2
1,255.0,283.71,1
1,91.0,296.64000000000004,3
3,23.0,1129.1400000000003,0
6,16.0,3539.3700000000003,2
1,23.0,291.88000000000005,0
6,26.0,2043.72,0
5,26.0,2976.15,0
2,259.0,590.0,1
2,165.0,356.98,3
2,24.0,1058.34,0
6,17.0,1766.72,0
14,7.0,9646.57,2
2,29.0,183.44,0
3,38.0,1445.0000000000002,0
1,252.0,151.5,1
1,58.0,674.6800000000001,0
1,184.0,307.90000000000003,3
2,10.0,1083.71,0
37,1.0,5704.97,2
2,99.0,165.0,3
4,1.0,2531.58,0
2,60.0,422.64,0
1,236.0,229.59,1
4,191.0,1431.7800000000002,3
2,178.0,1238.4699999999998,3
6,37.0,1454.5800000000002,0
2,200.0,300.95,3
5,45.0,1804.56,0
1,232.0,184.64,1
1,65.0,140.34,0
1,241.0,313.8,1
1,233.0,454.24000000000007,1
3,78.0,1122.41,0
3,57.0,575.4000000000001,0
13,17.0,8968.31,2
4,105.0,449.52,3
10,51.0,1215.8199999999997,2
3,136.0,1269.84,3
2,275.0,618.63,1
1,311.0,316.26000000000005,1
5,7.0,2044.87,0
2,10.0,653.3299999999999,0
2,282.0,348.04999999999995,1
5,17.0,1159.11,0
3,23.0,1166.77,0
1,288.0,1340.32,1
3,16.0,291.99999999999994,0
1,71.0,216.85,0
1,64.0,295.93000000000006,0
4,72.0,4393.63,0
2,316.0,458.52,1
4,3.0,2479.16,0
1,243.0,110.97000000000004,1
7,8.0,979.72,2
4,1.0,1791.56,0
1,260.0,251.21,1
1,126.0,205.1,3
1,73.0,152.20000000000002,0
4,72.0,891.1199999999999,0
3,21.0,1389.41,0
3,59.0,2128.42,0
1,85.0,659.4399999999998,0
1,78.0,122.75,0
6,58.0,3624.35,0
3,1.0,1093.65,0
1,30.0,125.8,0
5,33.0,3964.880000000001,0
5,40.0,680.1800000000001,0
2,14.0,628.78,0
7,33.0,2287.51,2
2,78.0,307.76000000000005,0
2,205.0,483.80000000000007,3
1,33.0,210.30999999999997,0
3,182.0,270.79,3
25,2.0,5870.08,2
7,1.0,3448.29,2
7,43.0,1280.85,0
3,85.0,631.34,0
2,39.0,291.41,0
3,12.0,626.99,0
2,96.0,682.4100000000001,3
7,25.0,918.2,2
1,319.0,91.8,1
12,66.0,3740.07,2
4,73.0,4149.280000000001,0
2,28.0,584.06,0
4,5.0,605.06,0
1,7.0,174.36999999999998,0
1,215.0,141.86,1
3,81.0,1799.33,0
2,84.0,777.53,0
3,144.0,1749.0200000000004,3
2,19.0,240.22,0
2,40.0,874.71,0
1,173.0,192.85,3
2,17.0,373.75,0
1,243.0,239.49000000000004,1
12,12.0,2092.32,2
1,205.0,1384.25,3
2,50.0,294.4,0
5,23.0,732.07,0
18,10.0,6717.34,2
4,25.0,1687.6,0
2,14.0,467.04,0
1,309.0,118.0,1
1,155.0,781.03,3
1,306.0,142.4,1
1,63.0,712.4,0
9,15.0,2478.95,2
2,14.0,379.65,0
6,11.0,1981.92,0
3,64.0,1117.13,0
4,35.0,247.96,0
5,108.0,2037.08,3
1,52.0,396.97,0
2,5.0,697.0400000000001,0
1,47.0,180.17,0
21,1.0,5153.67,2
1,312.0,219.52,1
2,45.0,693.32,0
1,64.0,428.89,0
1,26.0,164.34,0
3,29.0,280.54,0
1,40.0,678.0100000000001,0
7,12.0,1131.88,2
3,89.0,1171.7999999999995,0
4,24.0,1610.46,0
1,318.0,417.6900000000001,1
3,40.0,544.18,0
1,173.0,177.34,3
1,116.0,213.85,3
5,30.0,747.7800000000001,0
1,252.0,257.23,1
5,59.0,1638.47,0
11,23.0,7792.360000000001,2
7,5.0,2031.78,2
11,99.0,3070.42,2
5,24.0,2121.27,0
5,33.0,1575.16,0
1,67.0,1071.03,0
5,36.0,949.12,0
3,52.0,810.5,0
1,15.0,122.64,0
1,74.0,1033.34,0
1,215.0,354.8,1
3,31.0,519.44,0
4,16.0,2624.26,0
1,120.0,252.1,3
4,9.0,1678.12,0
2,256.0,346.6,1
6,16.0,1836.34,0
2,35.0,94.2,0
3,45.0,1095.08,0
6,43.0,2707.33,0
2,114.0,932.97,3
2,164.0,379.65,3
2,10.0,382.14,0
5,9.0,2639.1700000000005,0
2,205.0,1573.1999999999998,3
3,85.0,897.76,0
1,179.0,189.47,3
3,60.0,84.65,0
1,149.0,305.0199999999999,3
21,2.0,6363.59,2
2,50.0,218.55,0
1,75.0,349.7,0
2,301.0,186.39,1
2,18.0,396.92,0
2,151.0,486.8200000000001,3
1,151.0,232.6,3
4,1.0,3722.42,0
4,17.0,827.83,0
1,187.0,59.5,3
1,285.0,67.23,1
7,2.0,3119.44,2
1,182.0,72.0,3
1,63.0,910.0,0
1,59.0,172.25000000000003,0
3,24.0,1488.32,0
50,3.0,65039.62,2
15,31.0,2504.13,2
1,38.0,151.3,0
1,155.0,308.58,3
10,26.0,2265.12,2
1,318.0,99.5,1
9,5.0,2308.0600000000004,2
3,7.0,711.86,0
1,302.0,330.79,1
2,267.0,806.41,1
1,271.0,296.88,1
13,3.0,6328.05,2
1,31.0,180.48,0
2,218.0,252.06000000000003,1
1,246.0,228.84,1
5,281.0,1079.34,1
1,269.0,138.28,1
6,32.0,1445.0100000000002,0
2,246.0,306.54999999999995,1
5,15.0,1041.68,0
4,116.0,799.9,3
1,36.0,524.1400000000001,0
3,131.0,2375.41,3
1,217.0,199.85,1
8,49.0,1980.56,2
2,38.0,1079.66,0
2,28.0,333.48,0
6,36.0,1016.14,0
2,135.0,752.6,3
2,219.0,610.59,1
1,28.0,491.86,0
4,24.0,2885.24,0
2,5.0,731.8999999999999,0
1,200.0,339.6,3
1,18.0,216.9,0
1,240.0,350.75,1
3,71.0,668.4300000000001,0
12,16.0,3131.0199999999995,2
7,2.0,1341.6,2
2,95.0,1156.36,3
1,162.0,300.04,3
