CustomerID,ProductID,Recomendación_1,Recomendación_2,Recomendación_3,Recomendación_4,Recomendación_5
12407.0,FAIRY CAKES NOTEBOOK A7 SIZE,FAIRY CAKES NOTEBOOK A6 SIZE,ENGLISH ROSE NOTEBOOK A7 SIZE,SET 20 NAPKINS FAIRY CAKES DESIGN ,TEA TIME OVEN GLOVE,ENGLISH ROSE NOTEBOOK A6 SIZE
12408.0,DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX ,CIRCUS PARADE LUNCH BOX , DOLLY GIRL BEAKER,SPACEBOY BEAKER,LUNCH BAG DOLLY GIRL DESIGN
12409.0,WOODLAND  STICKERS,BUTTERFLIES STICKERS,LOVELY BONBON STICKER SHEET,ROUND SNACK BOXES SET OF4 WOODLAND ,PANDA AND BUNNIES STICKER SHEET,WOODLAND PARTY BAG + STICKER SET
12410.0,FRENCH BATHROOM SIGN BLUE METAL,FRENCH TOILET SIGN BLUE METAL,FRENCH KITCHEN SIGN BLUE METAL,FRENCH WC SIGN BLUE METAL,FRENCH LAUNDRY SIGN BLUE METAL,FRENCH GARDEN SIGN BLUE METAL
12412.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS,VINTAGE SNAP CARDS,RED  HARMONICA IN BOX ,BLUE HARMONICA IN BOX ,WOODEN BOX OF DOMINOES,PACK OF 12 TRADITIONAL CRAYONS
12413.0,10 COLOUR SPACEBOY PEN,MAGIC DRAWING SLATE SPACEBOY ,PLASTERS IN TIN SPACEBOY,SPACEBOY LUNCH BOX ,LUNCH BAG SPACEBOY DESIGN ,SPACEBOY BIRTHDAY CARD
12414.0,12 PENCILS SMALL TUBE RED RETROSPOT,12 PENCILS SMALL TUBE SKULL,12 PENCIL SMALL TUBE WOODLAND,SET 12 COLOUR PENCILS SPACEBOY ,SET 12 COLOURING PENCILS DOILY,SET 12 COLOUR PENCILS DOLLY GIRL 
12415.0,MINI PAINT SET VINTAGE ,MINI JIGSAW SPACEBOY,MAGIC DRAWING SLATE DOLLY GIRL ,MAGIC DRAWING SLATE SPACEBOY ,RED  HARMONICA IN BOX ,SPACEBOY LUNCH BOX 
12417.0,WRAP PAISLEY PARK ,WRAP DOILEY DESIGN,WRAP RED DOILEY,GINGHAM ROSE WRAP,WRAP ENGLISH ROSE ,RED RETROSPOT WRAP 
12418.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS,VINTAGE SNAP CARDS,RED  HARMONICA IN BOX ,BLUE HARMONICA IN BOX ,WOODEN BOX OF DOMINOES,PACK OF 12 TRADITIONAL CRAYONS
12420.0,HANGING WOOD AND FELT FLOWER,HANGING WOOD AND FELT BUTTERFLY ,HANGING WOOD AND FELT HEART,PURPLE DRESS JEWELLERY STAND,EASTER DECORATION HANGING BUNNY,JIGSAW TREE WITH WATERING CAN
12421.0,LOVE HEART TRINKET POT,CERAMIC BOWL WITH LOVE HEART DESIGN,PINK DOUGHNUT TRINKET POT ,SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY FAIRY CAKE TEAPOT,CHRISTMAS PUDDING TRINKET POT 
12422.0,FRENCH LAVENDER SCENT HEART,FRENCH FLORAL CUSHION COVER ,SMALL PARISIENNE HEART PHOTO FRAME ,HEART DECORATION RUSTIC HANGING ,LAVENDER SCENTED FABRIC HEART,PURPLE FRANGIPANI NECKLACE
12423.0,MAGNETS PACK OF 4 RETRO PHOTO,MAGNETS PACK OF 4 SWALLOWS,MAGNETS PACK OF 4 HOME SWEET HOME,MAGNETS PACK OF 4 VINTAGE COLLAGE,MAGNETS PACK OF 4 VINTAGE LABELS ,MAGNETS PACK OF 4 CHILDHOOD MEMORY
12424.0,SET OF 3 BUTTERFLY COOKIE CUTTERS,SET OF 3 HEART COOKIE CUTTERS,3 PIECE SPACEBOY COOKIE CUTTER SET,GINGERBREAD MAN COOKIE CUTTER,SET OF 20 KIDS COOKIE CUTTERS,3 TRADITIONAL COOKIE CUTTERS  SET
12425.0,ICE CREAM PEN LIP GLOSS ,DOUGHNUT LIP GLOSS ,ICE CREAM SUNDAE LIP GLOSS,KNICKERBOCKERGLORY MAGNET ASSORTED ,ICE CREAM BUBBLES,WOODEN BOX OF DOMINOES
12426.0,WRAP BAD HAIR DAY,PURPLE DRESS JEWELLERY STAND,DIAMANTE HAIR GRIP PACK/2 PERIDOT,ROSE PENDANT TRIPLE SHELL NECKLACE,BIRD ON BRANCH CANVAS SCREEN,MONTANA DIAMOND CLUSTER EARRINGS
12427.0,BOYS ALPHABET IRON ON PATCHES,GIRLS ALPHABET IRON ON PATCHES ,HANGING HEART BASKET,MINI HIGHLIGHTER PENS,PINK SPOTS CHOCOLATE NESTING BOXES ,CHERRY BLOSSOM LUGGAGE TAG
12428.0,BLUE POLKADOT BEAKER ,RED POLKADOT BEAKER ,BLUE POLKADOT COFFEE MUG,BLUE EGG  SPOON,DAIRY MAID TOASTRACK,CHARLIE AND LOLA TABLE TINS
12429.0,60 CAKE CASES DOLLY GIRL DESIGN,PACK OF 60 SPACEBOY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES
12430.0,MINI JIGSAW SPACEBOY,MINI JIGSAW DOLLY GIRL,MINI JIGSAW CIRCUS PARADE ,MINI JIGSAW BUNNIES,MINI JIGSAW GO TO THE FAIR,MINI JIGSAW PURDEY
12431.0,RABBIT NIGHT LIGHT,RED TOADSTOOL LED NIGHT LIGHT,MINI LIGHTS WOODLAND MUSHROOMS,FAIRY TALE COTTAGE NIGHTLIGHT,SPACEBOY LUNCH BOX ,SET OF 10 LED DOLLY LIGHTS
12432.0,RAIN PONCHO RETROSPOT,POLKADOT RAIN HAT ,KIDS RAIN MAC PINK,KIDS RAIN MAC BLUE,MINI PLAYING CARDS DOLLY GIRL ,CLOTHES PEGS RETROSPOT PACK 24 
12433.0,SMALL FOLDING SCISSOR(POINTED EDGE),ROUND PURPLE CLOCK WITH SUCKER,ROUND ARTICULATED PINK CLOCK W/SUCK,BLUE BREAKFAST CUP AND SAUCER ,PENS ASSORTED SPACEBALL,SET/4 SPRING FLOWER DECORATION
12434.0,PARTY CONES CANDY ASSORTED,PARTY CONES CANDY TREE DECORATION,PARTY CONES CARNIVAL ASSORTED,PINK PARTY BAGS,DIAMANTE HAIR GRIP PACK/2 LT ROSE,PAIR OF PINK FLOWER CLUSTER SLIDE
12435.0,RED  HARMONICA IN BOX ,BLUE HARMONICA IN BOX ,WOODEN BOX OF DOMINOES,WORLD WAR 2 GLIDERS ASSTD DESIGNS,VINTAGE SNAP CARDS,VINTAGE HEADS AND TAILS CARD GAME 
12436.0,SET OF 60 VINTAGE LEAF CAKE CASES ,SET OF 60 PANTRY DESIGN CAKE CASES ,SET OF 60 I LOVE LONDON CAKE CASES ,PACK OF 60 DINOSAUR CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES
12437.0,SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,PACK OF 6 SKULL PAPER PLATES,SET/20 RED RETROSPOT PAPER NAPKINS ,PACK OF 6 SKULL PAPER CUPS,RETROSPOT PARTY BAG + STICKER SET
12438.0,HOUSE SHAPE PENCIL SHARPENER,PINK MONTE CARLO HANDBAG,TEATIME ROUND PENCIL SHARPENER ,PENS ASSORTED FUNNY FACE,CARTOON  PENCIL SHARPENERS,ASSORTED TUTTI FRUTTI BRACELET
12441.0,WRAP I LOVE LONDON ,CARD I LOVE LONDON ,LUNCH BOX I LOVE LONDON,LONDON BUS COFFEE MUG,SET OF 4 KNICK KNACK TINS LONDON ,QUEENS GUARD COFFEE MUG
12442.0,WRAP PAISLEY PARK ,WRAP DOILEY DESIGN,WRAP RED DOILEY,GINGHAM ROSE WRAP,WRAP ENGLISH ROSE ,RED RETROSPOT WRAP 
12444.0,REGENCY TEA SPOON,REGENCY CAKE FORK,REGENCY CAKE SLICE,REGENCY SUGAR TONGS,REGENCY SUGAR BOWL GREEN,REGENCY TEA STRAINER
12445.0,3 WHITE CHOC MORRIS BOXED CANDLES,3 ROSE MORRIS BOXED CANDLES,ROSE 3 WICK MORRIS BOX CANDLE,CHOCOLATE 1 WICK MORRIS BOX CANDLE,CHOCOLATE 3 WICK MORRIS BOX CANDLE,3 GARDENIA MORRIS BOXED CANDLES
12446.0,4 TRADITIONAL SPINNING TOPS,TRADITIONAL WOODEN CATCH CUP GAME ,TRADITIONAL WOODEN SKIPPING ROPE,S/6 WOODEN SKITTLES IN COTTON BAG,TRADITIONAL KNITTING NANCY,SET OF 6 SOLDIER SKITTLES
12447.0,PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN CIRCUS PARADE ,PLASTERS IN TIN STRONGMAN,PLASTERS IN TIN VINTAGE PAISLEY ,PLASTERS IN TIN SKULLS
12448.0,SET/6 COLLAGE PAPER CUPS,SET/6 COLLAGE PAPER PLATES,SET/6 FRUIT SALAD PAPER CUPS,SET/6 FRUIT SALAD  PAPER PLATES,RED POLKADOT BEAKER ,PACK OF 20 SPACEBOY NAPKINS
12449.0,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,CHERRY BLOSSOM PURSE,CURIOUS IMAGES SCRAP BOOK SET,FIRE POLISHED GLASS BRACELET BLACK,JADE CRYSTAL+GLASS BRACELET,WHITE ENAMEL FLOWER HAIR TIE
12450.0,LUNCH BAG DOILEY PATTERN ,JUMBO BAG DOILEY PATTERNS,LUNCH BAG APPLE DESIGN,LUNCH BAG VINTAGE LEAF DESIGN,LUNCH BAG RED RETROSPOT,LUNCH BAG ALPHABET DESIGN
12451.0,MAGIC SHEEP WOOL GROWING FROM PAPER,MAGIC TREE -PAPER FLOWERS,SLEEPING CAT ERASERS,POPPY'S PLAYHOUSE LIVINGROOM ,LOVE HEART POCKET WARMER,SET OF 6 3D KIT CARDS FOR KIDS
12452.0,ICE CREAM SUNDAE LIP GLOSS,DOUGHNUT LIP GLOSS ,ICE CREAM PEN LIP GLOSS ,KNICKERBOCKERGLORY MAGNET ASSORTED ,BUBBLEGUM RING ASSORTED,STRAWBERRY LUNCH BOX WITH CUTLERY
12453.0,RED RETROSPOT WRAP ,BLUE POLKADOT WRAP,PINK POLKADOT WRAP ,WRAP ENGLISH ROSE ,SKULLS AND CROSSBONES WRAP,FANCY FONTS BIRTHDAY WRAP
12454.0,VANILLA SCENT CANDLE JEWELLED BOX,OCEAN SCENT CANDLE IN JEWELLED BOX,ROSE SCENT CANDLE IN JEWELLED BOX,ROSE SCENT CANDLE JEWELLED DRAWER,SET/3 VANILLA SCENTED CANDLE IN BOX,SET/3 OCEAN SCENT CANDLE JEWEL BOX
12455.0,HEART DECORATION PAINTED ZINC ,FOLKART ZINC HEART CHRISTMAS DEC,HANGING HEART MIRROR DECORATION ,LOVEBIRD HANGING DECORATION WHITE ,STAR DECORATION PAINTED ZINC ,FOUR HOOK  WHITE LOVEBIRDS
12456.0,CHRISTMAS METAL POSTCARD WITH BELLS,FOLKART CLIP ON STARS,PAINTED METAL HEART WITH HOLLY BELL,PAINTED METAL STAR WITH HOLLY BELLS,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,NEW BAROQUE B'FLY NECKLACE RED
12457.0,JUMBO BAG APPLES,JUMBO BAG PEARS,JUMBO BAG VINTAGE LEAF,JUMBO BAG DOILEY PATTERNS,LUNCH BAG APPLE DESIGN,JUMBO BAG RED RETROSPOT
12458.0,DINOSAUR KEYRINGS ASSORTED,ASSORTED CREEPY CRAWLIES,SKULLS  STICKERS,BALLOON WATER BOMB PACK OF 35,ASSTD DESIGN RACING CAR PEN,BUTTERFLIES STICKERS
12461.0,ASSORTED TUTTI FRUTTI BRACELET,ROUND PURPLE CLOCK WITH SUCKER,ASSORTED TUTTI FRUTTI PEN,TEATIME PUSH DOWN RUBBER,PURPLE DRESS JEWELLERY STAND,ASSORTED TUTTI FRUTTI KEYRING BALL
12462.0,CHRISTMAS PUDDING TRINKET POT ,PINK DOUGHNUT TRINKET POT ,LOVE HEART TRINKET POT,SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,SMALL CHOCOLATES PINK BOWL
12463.0,ICE CREAM SUNDAE LIP GLOSS,DOUGHNUT LIP GLOSS ,ICE CREAM PEN LIP GLOSS ,KNICKERBOCKERGLORY MAGNET ASSORTED ,BUBBLEGUM RING ASSORTED,STRAWBERRY LUNCH BOX WITH CUTLERY
12464.0,GUMBALL COAT RACK,GUMBALL MAGAZINE RACK,RABBIT NIGHT LIGHT,ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE GREEN,GUMBALL MONOCHROME COAT RACK
12465.0,POLKADOT PEN,FUNKY DIVA PEN,LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,RED RETROSPOT WRAP ,CHARLOTTE BAG APPLES DESIGN
12468.0,MINI PAINT SET VINTAGE ,MINI JIGSAW SPACEBOY,MAGIC DRAWING SLATE DOLLY GIRL ,MAGIC DRAWING SLATE SPACEBOY ,RED  HARMONICA IN BOX ,SPACEBOY LUNCH BOX 
12471.0,LIPSTICK PEN RED,LIPSTICK PEN FUSCHIA,LIPSTICK PEN BABY PINK,TOOTHPASTE TUBE PEN,FOLDING CAMPING SCISSOR W/KNIF & S,CHOCOLATE CALCULATOR
12472.0,POLKADOT PEN,FUNKY DIVA PEN,LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,RED RETROSPOT WRAP ,CHARLOTTE BAG APPLES DESIGN
12473.0,CHRISTMAS TREE PAINTED ZINC ,STAR DECORATION PAINTED ZINC ,ANGEL DECORATION PAINTED ZINC ,NOEL GARLAND PAINTED ZINC ,DOVE DECORATION PAINTED ZINC ,WOODEN TREE CHRISTMAS SCANDINAVIAN
12474.0,POPART WOODEN PENCILS ASST,POPART RECT PENCIL SHARPENER ASST,TEATIME ROUND PENCIL SHARPENER ,PURPLE DRESS JEWELLERY STAND,BLUE DAISY MOBILE,PENS ASSORTED FUNNY FACE
12475.0,POPART WOODEN PENCILS ASST,POPART RECT PENCIL SHARPENER ASST,TEATIME ROUND PENCIL SHARPENER ,PURPLE DRESS JEWELLERY STAND,BLUE DAISY MOBILE,PENS ASSORTED FUNNY FACE
12476.0,BLUE POLKADOT BEAKER ,RED POLKADOT BEAKER ,BLUE POLKADOT COFFEE MUG,BLUE EGG  SPOON,DAIRY MAID TOASTRACK,CHARLIE AND LOLA TABLE TINS
12477.0,RED SPOTTY BISCUIT TIN,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",RED RETROSPOT SUGAR JAM BOWL,RECIPE BOX RETROSPOT ,RED RETROSPOT ROUND CAKE TINS,SET/2 RED RETROSPOT TEA TOWELS 
12478.0,CARD MOTORBIKE SANTA,CARD CHRISTMAS VILLAGE,COWBOYS AND INDIANS BIRTHDAY CARD ,TEA PARTY BIRTHDAY CARD,SPACEBOY BIRTHDAY CARD,"ELEPHANT, BIRTHDAY CARD, "
12479.0,PACK OF 72 RETROSPOT CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,PACK OF 72 SKULL CAKE CASES
12480.0,SPACEBOY LUNCH BOX ,DOLLY GIRL LUNCH BOX,CIRCUS PARADE LUNCH BOX ,SPACEBOY BEAKER,LUNCH BAG SPACEBOY DESIGN , DOLLY GIRL BEAKER
